sample,total_count,population,count,percentage
sample00009,95821,nk_cell,18064,18.8518
sample00010,107537,b_cell,13203,12.2776
sample00010,107537,cd4_t_cell,27873,25.9195
sample00010,107537,cd8_t_cell,21339,19.8434
sample00010,107537,monocyte,31913,29.6763
sample00010,107537,nk_cell,13209,12.2832
sample00011,89815,b_cell,10621,11.8254
sample00011,89815,cd4_t_cell,29391,32.7239
sample00011,89815,cd8_t_cell,19786,22.0297
sample00011,89815,monocyte,16497,18.3678
sample00011,89815,nk_cell,13520,15.0532
sample00012,109579,b_cell,14128,12.893
sample00012,109579,cd4_t_cell,40320,36.7954
sample00012,109579,cd8_t_cell,21720,19.8213
sample00012,109579,monocyte,18802,17.1584
sample00012,109579,nk_cell,14609,13.3319
sample00013,109488,b_cell,10681,9.7554
sample00013,109488,cd4_t_cell,31697,28.9502
sample00013,109488,cd8_t_cell,19994,18.2614
sample00013,109488,monocyte,22073,20.1602
sample00013,109488,nk_cell,25043,22.8728
sample00014,92904,b_cell,6113,6.5799
sample00014,92904,cd4_t_cell,27223,29.3023
sample00014,92904,cd8_t_cell,25851,27.8255
sample00014,92904,monocyte,24463,26.3315
sample00014,92904,nk_cell,9254,9.9608
sample00015,102691,b_cell,8261,8.0445
sample00015,102691,cd4_t_cell,36217,35.2679
sample00015,102691,cd8_t_cell,21523,20.959
sample00015,102691,monocyte,20937,20.3883
sample00015,102691,nk_cell,15753,15.3402
sample00016,95824,b_cell,7433,7.7569
sample00016,95824,cd4_t_cell,33881,35.3575
sample00016,95824,cd8_t_cell,22881,23.8782
sample00016,95824,monocyte,22197,23.1643
sample00016,95824,nk_cell,9432,9.843
sample00017,98639,b_cell,3226,3.2705
sample00017,98639,cd4_t_cell,36405,36.9073
sample00017,98639,cd8_t_cell,20404,20.6855
sample00017,98639,monocyte,17865,18.1115
sample00017,98639,nk_cell,20739,21.0252
sample00018,101123,b_cell,3578,3.5383
sample00018,101123,cd4_t_cell,32675,32.3121
sample00018,101123,cd8_t_cell,29520,29.1922
sample00018,101123,monocyte,19813,19.593
sample00018,101123,nk_cell,15537,15.3645
sample00019,97405,b_cell,8022,8.2357
sample00019,97405,cd4_t_cell,30759,31.5785
sample00019,97405,cd8_t_cell,27175,27.899
sample00019,97405,monocyte,20466,21.0112
sample00019,97405,nk_cell,10983,11.2756
sample00020,97228,b_cell,6382,6.564
sample00020,97228,cd4_t_cell,32731,33.6642
sample00020,97228,cd8_t_cell,17469,17.967
sample00020,97228,monocyte,22590,23.234
sample00020,97228,nk_cell,18056,18.5708
sample00021,100750,b_cell,10337,10.26
sample00021,100750,cd4_t_cell,31535,31.3002
sample00021,100750,cd8_t_cell,19144,19.0015
sample00021,100750,monocyte,26971,26.7702
sample00021,100750,nk_cell,12763,12.668
sample00022,92670,b_cell,9563,10.3194
sample00022,92670,cd4_t_cell,32814,35.4095
sample00022,92670,cd8_t_cell,22424,24.1977
sample00022,92670,monocyte,16304,17.5936
sample00022,92670,nk_cell,11565,12.4798
sample00023,104960,b_cell,6924,6.5968
sample00023,104960,cd4_t_cell,29844,28.4337
sample00023,104960,cd8_t_cell,28080,26.753
sample00023,104960,monocyte,24320,23.1707
sample00023,104960,nk_cell,15792,15.0457
sample00024,99969,b_cell,7552,7.5543
sample00024,99969,cd4_t_cell,35270,35.2809
sample00024,99969,cd8_t_cell,27821,27.8296
sample00024,99969,monocyte,9645,9.648
sample00024,99969,nk_cell,19681,19.6871
sample00025,95534,b_cell,11714,12.2616
sample00025,95534,cd4_t_cell,30323,31.7405
sample00025,95534,cd8_t_cell,21407,22.4077
sample00025,95534,monocyte,11789,12.3401
sample00025,95534,nk_cell,20301,21.25
sample00026,95777,b_cell,7936,8.2859
sample00026,95777,cd4_t_cell,34545,36.0682
sample00026,95777,cd8_t_cell,23786,24.8348
sample00026,95777,monocyte,15581,16.268
sample00026,95777,nk_cell,13929,14.5432
sample00027,93164,b_cell,8850,9.4994
sample00027,93164,cd4_t_cell,26079,27.9926
sample00027,93164,cd8_t_cell,21268,22.8286
sample00027,93164,monocyte,18776,20.1537
sample00027,93164,nk_cell,18191,19.5258
sample00028,106062,b_cell,11386,10.7352
sample00028,106062,cd4_t_cell,28400,26.7768
sample00028,106062,cd8_t_cell,28155,26.5458
sample00028,106062,monocyte,29251,27.5792
sample00028,106062,nk_cell,8870,8.363
sample00029,97156,b_cell,5606,5.7701
sample00029,97156,cd4_t_cell,31305,32.2214
sample00029,97156,cd8_t_cell,28476,29.3096
sample00029,97156,monocyte,15909,16.3747
sample00029,97156,nk_cell,15860,16.3243
sample00030,93972,b_cell,6413,6.8244
sample00030,93972,cd4_t_cell,20437,21.748
sample00030,93972,cd8_t_cell,25167,26.7814
sample00030,93972,monocyte,19638,20.8977
sample00030,93972,nk_cell,22317,23.7486
sample00031,106625,b_cell,7007,6.5716
sample00031,106625,cd4_t_cell,31653,29.6863
sample00031,106625,cd8_t_cell,30482,28.588
sample00031,106625,monocyte,23316,21.8673
sample00031,106625,nk_cell,14167,13.2868
sample00032,101357,b_cell,11118,10.9691
sample00032,101357,cd4_t_cell,32582,32.1458
sample00032,101357,cd8_t_cell,19704,19.4402
sample00032,101357,monocyte,17350,17.1177
sample00032,101357,nk_cell,20603,20.3272
sample00033,93131,b_cell,9054,9.7218
sample00033,93131,cd4_t_cell,24897,26.7333
sample00033,93131,cd8_t_cell,31679,34.0155
sample00033,93131,monocyte,11932,12.8121
sample00033,93131,nk_cell,15569,16.7173
sample00034,103870,b_cell,8350,8.0389
sample00034,103870,cd4_t_cell,36716,35.348
sample00034,103870,cd8_t_cell,26526,25.5377
sample00034,103870,monocyte,21284,20.491
sample00034,103870,nk_cell,10994,10.5844
sample00035,94622,b_cell,5327,5.6298
sample00035,94622,cd4_t_cell,38264,40.4388
sample00035,94622,cd8_t_cell,28094,29.6908
sample00035,94622,monocyte,15688,16.5797
sample00035,94622,nk_cell,7249,7.661
sample00036,103532,b_cell,8635,8.3404
sample00036,103532,cd4_t_cell,31787,30.7026
sample00036,103532,cd8_t_cell,29458,28.453
sample00036,103532,monocyte,17154,16.5688
sample00036,103532,nk_cell,16498,15.9352
sample00037,92368,b_cell,8915,9.6516
sample00037,92368,cd4_t_cell,24564,26.5936
sample00037,92368,cd8_t_cell,21012,22.7481
sample00037,92368,monocyte,23510,25.4525
sample00037,92368,nk_cell,14367,15.5541
sample00038,98897,b_cell,12062,12.1965
sample00038,98897,cd4_t_cell,33109,33.4783
sample00038,98897,cd8_t_cell,18923,19.134
sample00038,98897,monocyte,20427,20.6548
sample00038,98897,nk_cell,14376,14.5363
sample00039,107756,b_cell,14634,13.5807
sample00039,107756,cd4_t_cell,35553,32.994
sample00039,107756,cd8_t_cell,26888,24.9527
sample00039,107756,monocyte,18809,17.4552
sample00039,107756,nk_cell,11872,11.0175
sample00040,105943,b_cell,11007,10.3895
sample00040,105943,cd4_t_cell,25872,24.4207
sample00040,105943,cd8_t_cell,25723,24.28
sample00040,105943,monocyte,25016,23.6127
sample00040,105943,nk_cell,18325,17.297
sample00041,91358,b_cell,11583,12.6787
sample00041,91358,cd4_t_cell,22586,24.7225
sample00041,91358,cd8_t_cell,23517,25.7416
sample00041,91358,monocyte,19241,21.0611
sample00041,91358,nk_cell,14431,15.7961
sample00042,111631,b_cell,12118,10.8554
sample00042,111631,cd4_t_cell,41403,37.0892
sample00042,111631,cd8_t_cell,22342,20.0142
sample00042,111631,monocyte,17108,15.3255
sample00042,111631,nk_cell,18660,16.7158
sample00043,104827,b_cell,4750,4.5313
sample00043,104827,cd4_t_cell,36392,34.7162
sample00043,104827,cd8_t_cell,23553,22.4684
sample00043,104827,monocyte,24363,23.2411
sample00043,104827,nk_cell,15769,15.0429
sample00044,106034,b_cell,15793,14.8943
sample00044,106034,cd4_t_cell,37025,34.918
sample00044,106034,cd8_t_cell,25351,23.9084
sample00044,106034,monocyte,13893,13.1024
sample00044,106034,nk_cell,13972,13.1769
sample00045,104473,b_cell,13792,13.2015
sample00045,104473,cd4_t_cell,33714,32.2705
sample00045,104473,cd8_t_cell,26314,25.1874
sample00045,104473,monocyte,13548,12.9679
sample00045,104473,nk_cell,17105,16.3727
sample00046,105731,b_cell,7726,7.3072
sample00046,105731,cd4_t_cell,29221,27.6371
sample00046,105731,cd8_t_cell,25456,24.0762
sample00046,105731,monocyte,25427,24.0488
sample00046,105731,nk_cell,17901,16.9307
sample00047,93338,b_cell,8249,8.8378
sample00047,93338,cd4_t_cell,37597,40.2805
sample00047,93338,cd8_t_cell,20566,22.0339
sample00047,93338,monocyte,15869,17.0016
sample00047,93338,nk_cell,11057,11.8462
sample00048,105178,b_cell,13648,12.9761
sample00048,105178,cd4_t_cell,31150,29.6165
sample00048,105178,cd8_t_cell,32565,30.9618
sample00048,105178,monocyte,17485,16.6242
sample00048,105178,nk_cell,10330,9.8214
sample00049,104513,b_cell,11419,10.9259
sample00049,104513,cd4_t_cell,29883,28.5926
sample00049,104513,cd8_t_cell,20811,19.9124
sample00049,104513,monocyte,20669,19.7765
sample00049,104513,nk_cell,21731,20.7926
sample00050,106504,b_cell,14113,13.2511
sample00050,106504,cd4_t_cell,32832,30.827
sample00050,106504,cd8_t_cell,32701,30.704
sample00050,106504,monocyte,12899,12.1113
sample00050,106504,nk_cell,13959,13.1065
sample00051,88918,b_cell,9765,10.982
sample00051,88918,cd4_t_cell,25644,28.8401
sample00051,88918,cd8_t_cell,21622,24.3168
sample00051,88918,monocyte,19209,21.6031
sample00051,88918,nk_cell,12678,14.2581
sample00052,95942,b_cell,11122,11.5924
sample00052,95942,cd4_t_cell,21886,22.8117
sample00052,95942,cd8_t_cell,30718,32.0173
sample00052,95942,monocyte,20577,21.4473
sample00052,95942,nk_cell,11639,12.1313
sample00053,99135,b_cell,11822,11.9252
sample00053,99135,cd4_t_cell,30587,30.8539
sample00053,99135,cd8_t_cell,26750,26.9834
sample00053,99135,monocyte,22544,22.7407
sample00053,99135,nk_cell,7432,7.4968
sample00054,99486,b_cell,7782,7.8222
sample00054,99486,cd4_t_cell,26399,26.5354
sample00054,99486,cd8_t_cell,26235,26.3705
sample00054,99486,monocyte,20742,20.8492
sample00054,99486,nk_cell,18328,18.4227
sample00055,101344,b_cell,11645,11.4906
sample00055,101344,cd4_t_cell,34912,34.449
sample00055,101344,cd8_t_cell,23172,22.8647
sample00055,101344,monocyte,16223,16.0079
sample00055,101344,nk_cell,15392,15.1879
sample00056,92361,b_cell,11022,11.9336
sample00056,92361,cd4_t_cell,24674,26.7147
sample00056,92361,cd8_t_cell,18780,20.3333
sample00056,92361,monocyte,20094,21.7559
sample00056,92361,nk_cell,17791,19.2625
sample00057,111127,b_cell,15157,13.6393
sample00057,111127,cd4_t_cell,40906,36.8101
sample00057,111127,cd8_t_cell,19991,17.9893
sample00057,111127,monocyte,23819,21.434
sample00057,111127,nk_cell,11254,10.1272
sample00058,93201,b_cell,10510,11.2767
sample00058,93201,cd4_t_cell,28561,30.6445
sample00058,93201,cd8_t_cell,20389,21.8764
sample00058,93201,monocyte,17442,18.7144
sample00058,93201,nk_cell,16299,17.488
sample00059,108944,b_cell,17545,16.1046
sample00059,108944,cd4_t_cell,33022,30.311
sample00059,108944,cd8_t_cell,24675,22.6493
sample00059,108944,monocyte,19458,17.8606
sample00059,108944,nk_cell,14244,13.0746
sample00060,103534,b_cell,11035,10.6583
sample00060,103534,cd4_t_cell,38817,37.492
sample00060,103534,cd8_t_cell,21406,20.6753
sample00060,103534,monocyte,17717,17.1123
sample00060,103534,nk_cell,14559,14.062
sample00061,111970,b_cell,4508,4.0261
sample00061,111970,cd4_t_cell,38281,34.1886
sample00061,111970,cd8_t_cell,34867,31.1396
sample00061,111970,monocyte,18301,16.3446
sample00061,111970,nk_cell,16013,14.3012
sample00062,95286,b_cell,10066,10.564
sample00062,95286,cd4_t_cell,21554,22.6203
sample00062,95286,cd8_t_cell,20104,21.0986
sample00062,95286,monocyte,26057,27.3461
sample00062,95286,nk_cell,17505,18.371
sample00063,93940,b_cell,7236,7.7028
sample00063,93940,cd4_t_cell,29335,31.2274
sample00063,93940,cd8_t_cell,32409,34.4997
sample00063,93940,monocyte,14501,15.4364
sample00063,93940,nk_cell,10459,11.1337
sample00064,109577,b_cell,10199,9.3076
sample00064,109577,cd4_t_cell,33535,30.6041
sample00064,109577,cd8_t_cell,24842,22.6708
sample00064,109577,monocyte,24701,22.5421
sample00064,109577,nk_cell,16300,14.8754
sample00065,92559,b_cell,8425,9.1023
sample00065,92559,cd4_t_cell,24750,26.7397
sample00065,92559,cd8_t_cell,28293,30.5675
sample00065,92559,monocyte,18995,20.522
sample00065,92559,nk_cell,12096,13.0684
sample00066,107284,b_cell,8052,7.5053
sample00066,107284,cd4_t_cell,37350,34.8141
sample00066,107284,cd8_t_cell,35323,32.9248
sample00066,107284,monocyte,12632,11.7744
sample00066,107284,nk_cell,13927,12.9814
sample00067,107589,b_cell,11874,11.0364
sample00067,107589,cd4_t_cell,29460,27.382
sample00067,107589,cd8_t_cell,24116,22.4149
sample00067,107589,monocyte,20737,19.2743
sample00067,107589,nk_cell,21402,19.8924
sample00068,110245,b_cell,10501,9.5251
sample00068,110245,cd4_t_cell,35458,32.1629
sample00068,110245,cd8_t_cell,33801,30.6599
sample00068,110245,monocyte,23088,20.9424
sample00068,110245,nk_cell,7397,6.7096
sample00069,110094,b_cell,11742,10.6654
sample00069,110094,cd4_t_cell,35087,31.87
sample00069,110094,cd8_t_cell,30825,27.9988
sample00069,110094,monocyte,19536,17.7448
sample00069,110094,nk_cell,12904,11.7209
sample00070,97532,b_cell,9131,9.3621
sample00070,97532,cd4_t_cell,31460,32.2561
sample00070,97532,cd8_t_cell,21272,21.8103
sample00070,97532,monocyte,19761,20.261
sample00070,97532,nk_cell,15908,16.3105
sample00071,96197,b_cell,5029,5.2278
sample00071,96197,cd4_t_cell,36013,37.4367
sample00071,96197,cd8_t_cell,19587,20.3613
sample00071,96197,monocyte,15972,16.6034
sample00071,96197,nk_cell,19596,20.3707
sample00072,93613,b_cell,8730,9.3256
sample00072,93613,cd4_t_cell,22481,24.0148
sample00072,93613,cd8_t_cell,26500,28.308
sample00072,93613,monocyte,19301,20.6179
sample00072,93613,nk_cell,16601,17.7336
sample00073,104898,b_cell,10426,9.9392
sample00073,104898,cd4_t_cell,26510,25.2722
sample00073,104898,cd8_t_cell,28944,27.5925
sample00073,104898,monocyte,19567,18.6534
sample00073,104898,nk_cell,19451,18.5428
sample00074,92232,b_cell,13166,14.2749
sample00074,92232,cd4_t_cell,33699,36.5372
sample00074,92232,cd8_t_cell,18608,20.1752
sample00074,92232,monocyte,11200,12.1433
sample00074,92232,nk_cell,15559,16.8694
sample00075,104711,b_cell,14480,13.8285
sample00075,104711,cd4_t_cell,33149,31.6576
sample00075,104711,cd8_t_cell,26460,25.2696
sample00075,104711,monocyte,15639,14.9354
sample00075,104711,nk_cell,14983,14.3089
sample00076,110097,b_cell,12385,11.2492
sample00076,110097,cd4_t_cell,37340,33.9155
sample00076,110097,cd8_t_cell,23764,21.5846
sample00076,110097,monocyte,20907,18.9896
sample00076,110097,nk_cell,15701,14.2611
sample00077,105432,b_cell,9602,9.1073
sample00077,105432,cd4_t_cell,42528,40.3369
sample00077,105432,cd8_t_cell,18744,17.7783
sample00077,105432,monocyte,17956,17.0309
sample00077,105432,nk_cell,16602,15.7466
sample00078,107869,b_cell,5623,5.2128
sample00078,107869,cd4_t_cell,26856,24.8969
sample00078,107869,cd8_t_cell,32983,30.5769
sample00078,107869,monocyte,23663,21.9368
sample00078,107869,nk_cell,18744,17.3766
sample00079,99165,b_cell,5792,5.8408
sample00079,99165,cd4_t_cell,32123,32.3935
sample00079,99165,cd8_t_cell,32012,32.2816
sample00079,99165,monocyte,18446,18.6013
sample00079,99165,nk_cell,10792,10.8829
sample00080,95727,b_cell,5519,5.7654
sample00080,95727,cd4_t_cell,31007,32.3911
sample00080,95727,cd8_t_cell,22834,23.8532
sample00080,95727,monocyte,18917,19.7614
sample00080,95727,nk_cell,17450,18.2289
sample00081,93286,b_cell,9595,10.2856
sample00081,93286,cd4_t_cell,31245,33.4938
sample00081,93286,cd8_t_cell,18940,20.3032
sample00081,93286,monocyte,18924,20.286
sample00081,93286,nk_cell,14582,15.6315
sample00082,103389,b_cell,6068,5.8691
sample00082,103389,cd4_t_cell,30549,29.5476
sample00082,103389,cd8_t_cell,31190,30.1676
sample00082,103389,monocyte,17682,17.1024
sample00082,103389,nk_cell,17900,17.3133
sample00083,88242,b_cell,7306,8.2795
sample00083,88242,cd4_t_cell,23762,26.9282
sample00083,88242,cd8_t_cell,23204,26.2959
sample00083,88242,monocyte,17528,19.8636
sample00083,88242,nk_cell,16442,18.6329
sample00084,100815,b_cell,10469,10.3844
sample00084,100815,cd4_t_cell,28340,28.1109
sample00084,100815,cd8_t_cell,24997,24.7949
sample00084,100815,monocyte,18881,18.7284
sample00084,100815,nk_cell,18128,17.9815
sample00085,102542,b_cell,13770,13.4286
sample00085,102542,cd4_t_cell,26218,25.5681
sample00085,102542,cd8_t_cell,32384,31.5812
sample00085,102542,monocyte,12907,12.587
sample00085,102542,nk_cell,17263,16.8351
sample00086,105610,b_cell,12479,11.8161
sample00086,105610,cd4_t_cell,31475,29.803
sample00086,105610,cd8_t_cell,18340,17.3658
sample00086,105610,monocyte,16664,15.7788
sample00086,105610,nk_cell,26652,25.2362
sample00087,91946,b_cell,5686,6.1841
sample00087,91946,cd4_t_cell,26848,29.1997
sample00087,91946,cd8_t_cell,21892,23.8096
sample00087,91946,monocyte,25096,27.2943
sample00087,91946,nk_cell,12424,13.5123
sample00088,101732,b_cell,6883,6.7658
sample00088,101732,cd4_t_cell,31277,30.7445
sample00088,101732,cd8_t_cell,23831,23.4253
sample00088,101732,monocyte,20748,20.3948
sample00088,101732,nk_cell,18993,18.6696
sample00089,107271,b_cell,14432,13.4538
sample00089,107271,cd4_t_cell,31757,29.6045
sample00089,107271,cd8_t_cell,23729,22.1206
sample00089,107271,monocyte,22063,20.5675
sample00089,107271,nk_cell,15290,14.2536
sample00090,102290,b_cell,13492,13.19
sample00090,102290,cd4_t_cell,26759,26.1599
sample00090,102290,cd8_t_cell,20490,20.0313
sample00090,102290,monocyte,23448,22.9231
sample00090,102290,nk_cell,18101,17.6958
sample00091,102598,b_cell,4652,4.5342
sample00091,102598,cd4_t_cell,33782,32.9266
sample00091,102598,cd8_t_cell,30489,29.717
sample00091,102598,monocyte,15790,15.3902
sample00091,102598,nk_cell,17885,17.4321
sample00092,113429,b_cell,7510,6.6209
sample00092,113429,cd4_t_cell,37137,32.7403
sample00092,113429,cd8_t_cell,22955,20.2373
sample00092,113429,monocyte,23268,20.5133
sample00092,113429,nk_cell,22559,19.8882
sample00093,109064,b_cell,8676,7.955
sample00093,109064,cd4_t_cell,33280,30.5142
sample00093,109064,cd8_t_cell,22893,20.9904
sample00093,109064,monocyte,16745,15.3534
sample00093,109064,nk_cell,27470,25.187
sample00094,102270,b_cell,13462,13.1632
sample00094,102270,cd4_t_cell,23802,23.2737
sample00094,102270,cd8_t_cell,19888,19.4466
sample00094,102270,monocyte,25885,25.3105
sample00094,102270,nk_cell,19233,18.8061
sample00095,93081,b_cell,4896,5.2599
sample00095,93081,cd4_t_cell,17746,19.0651
sample00095,93081,cd8_t_cell,29022,31.1793
sample00095,93081,monocyte,27838,29.9073
sample00095,93081,nk_cell,13579,14.5884
sample00096,108158,b_cell,8717,8.0595
sample00096,108158,cd4_t_cell,31047,28.7052
sample00096,108158,cd8_t_cell,29369,27.1538
sample00096,108158,monocyte,25516,23.5914
sample00096,108158,nk_cell,13509,12.4901
sample00097,100776,b_cell,11469,11.3807
sample00097,100776,cd4_t_cell,25644,25.4465
sample00097,100776,cd8_t_cell,25912,25.7125
sample00097,100776,monocyte,26747,26.541
sample00097,100776,nk_cell,11004,10.9193
sample00098,105304,b_cell,10482,9.954
sample00098,105304,cd4_t_cell,31326,29.7482
sample00098,105304,cd8_t_cell,25543,24.2564
sample00098,105304,monocyte,23494,22.3106
sample00098,105304,nk_cell,14459,13.7307
sample00099,107859,b_cell,12589,11.6717
sample00099,107859,cd4_t_cell,30346,28.1349
sample00099,107859,cd8_t_cell,30282,28.0755
sample00099,107859,monocyte,16250,15.066
sample00099,107859,nk_cell,18392,17.0519
sample00100,106648,b_cell,12923,12.1174
sample00100,106648,cd4_t_cell,32069,30.0699
sample00100,106648,cd8_t_cell,24732,23.1903
sample00100,106648,monocyte,17589,16.4926
sample00100,106648,nk_cell,19335,18.1297
sample00101,100154,b_cell,18583,18.5544
sample00101,100154,cd4_t_cell,23455,23.4189
sample00101,100154,cd8_t_cell,28514,28.4702
sample00101,100154,monocyte,17677,17.6498
sample00101,100154,nk_cell,11925,11.9067
sample00102,102212,b_cell,16339,15.9854
sample00102,102212,cd4_t_cell,30765,30.0992
sample00102,102212,cd8_t_cell,15936,15.5911
sample00102,102212,monocyte,22541,22.0532
sample00102,102212,nk_cell,16631,16.2711
sample00103,109022,b_cell,8845,8.113
sample00103,109022,cd4_t_cell,40757,37.3842
sample00103,109022,cd8_t_cell,29598,27.1486
sample00103,109022,monocyte,20436,18.7448
sample00103,109022,nk_cell,9386,8.6093
sample00104,110049,b_cell,7005,6.3653
sample00104,110049,cd4_t_cell,37678,34.2375
sample00104,110049,cd8_t_cell,22323,20.2846
sample00104,110049,monocyte,20200,18.3555
sample00104,110049,nk_cell,22843,20.7571
sample00105,97807,b_cell,10654,10.8929
sample00105,97807,cd4_t_cell,27062,27.6688
sample00105,97807,cd8_t_cell,20879,21.3471
sample00105,97807,monocyte,24268,24.8121
sample00105,97807,nk_cell,14944,15.2791
sample00106,93933,b_cell,10373,11.043
sample00106,93933,cd4_t_cell,31487,33.5207
sample00106,93933,cd8_t_cell,17211,18.3226
sample00106,93933,monocyte,19680,20.9511
sample00106,93933,nk_cell,15182,16.1626
sample00107,102371,b_cell,17623,17.2148
sample00107,102371,cd4_t_cell,41127,40.1745
sample00107,102371,cd8_t_cell,22928,22.397
sample00107,102371,monocyte,10158,9.9227
sample00107,102371,nk_cell,10535,10.291
sample00108,97245,b_cell,4983,5.1242
sample00108,97245,cd4_t_cell,26215,26.9577
sample00108,97245,cd8_t_cell,27559,28.3398
sample00108,97245,monocyte,21483,22.0916
sample00108,97245,nk_cell,17005,17.4868
sample00109,104944,b_cell,13509,12.8726
sample00109,104944,cd4_t_cell,37336,35.5771
sample00109,104944,cd8_t_cell,20448,19.4847
sample00109,104944,monocyte,14045,13.3833
sample00109,104944,nk_cell,19606,18.6823
sample00110,97311,b_cell,11477,11.7941
sample00110,97311,cd4_t_cell,34048,34.9889
sample00110,97311,cd8_t_cell,23447,24.0949
sample00110,97311,monocyte,14957,15.3703
sample00110,97311,nk_cell,13382,13.7518
sample00111,102821,b_cell,15992,15.5532
sample00111,102821,cd4_t_cell,35615,34.6379
sample00111,102821,cd8_t_cell,23376,22.7347
sample00111,102821,monocyte,12438,12.0968
sample00111,102821,nk_cell,15400,14.9775
sample00112,99754,b_cell,8100,8.12
sample00112,99754,cd4_t_cell,32544,32.6243
sample00112,99754,cd8_t_cell,25296,25.3584
sample00112,99754,monocyte,21547,21.6001
sample00112,99754,nk_cell,12267,12.2973
sample00113,108308,b_cell,8777,8.1037
sample00113,108308,cd4_t_cell,33746,31.1574
sample00113,108308,cd8_t_cell,28919,26.7007
sample00113,108308,monocyte,26475,24.4442
sample00113,108308,nk_cell,10391,9.5939
sample00114,106352,b_cell,13741,12.9203
sample00114,106352,cd4_t_cell,31383,29.5086
sample00114,106352,cd8_t_cell,28857,27.1335
sample00114,106352,monocyte,14283,13.4299
sample00114,106352,nk_cell,18088,17.0077
sample00115,92639,b_cell,5722,6.1767
sample00115,92639,cd4_t_cell,29410,31.7469
sample00115,92639,cd8_t_cell,23044,24.8751
sample00115,92639,monocyte,19301,20.8346
sample00115,92639,nk_cell,15162,16.3668
sample00116,99836,b_cell,6304,6.3144
sample00116,99836,cd4_t_cell,39506,39.5709
sample00116,99836,cd8_t_cell,18835,18.8659
sample00116,99836,monocyte,15765,15.7909
sample00116,99836,nk_cell,19426,19.4579
sample00117,93271,b_cell,8561,9.1786
sample00117,93271,cd4_t_cell,23471,25.1643
sample00117,93271,cd8_t_cell,28864,30.9464
sample00117,93271,monocyte,18522,19.8583
sample00117,93271,nk_cell,13853,14.8524
sample00118,96176,b_cell,8314,8.6446
sample00118,96176,cd4_t_cell,26165,27.2053
sample00118,96176,cd8_t_cell,28113,29.2308
sample00118,96176,monocyte,16145,16.7869
sample00118,96176,nk_cell,17439,18.1324
sample00119,109329,b_cell,10519,9.6214
sample00119,109329,cd4_t_cell,29357,26.852
sample00119,109329,cd8_t_cell,24245,22.1762
sample00119,109329,monocyte,29544,27.023
sample00119,109329,nk_cell,15664,14.3274
sample00120,99469,b_cell,5301,5.3293
sample00120,99469,cd4_t_cell,28293,28.444
sample00120,99469,cd8_t_cell,25850,25.988
sample00120,99469,monocyte,21026,21.1382
sample00120,99469,nk_cell,18999,19.1004
sample00121,100448,b_cell,6109,6.0818
sample00121,100448,cd4_t_cell,28027,27.902
sample00121,100448,cd8_t_cell,23796,23.6899
sample00121,100448,monocyte,23633,23.5276
sample00121,100448,nk_cell,18883,18.7988
sample00122,102361,b_cell,9758,9.5329
sample00122,102361,cd4_t_cell,31029,30.3133
sample00122,102361,cd8_t_cell,28775,28.1113
sample00122,102361,monocyte,21255,20.7647
sample00122,102361,nk_cell,11544,11.2777
